version,ip_length,ttl,protocol,source_ip,destination_ip,source_port,destination_port,seq_num,ack_num,tcp_length,ns,cwr,ece,urg,ack,psh,rst,syn,fin,data_size,is_anomaly
4,5,64,6,127.0.0.1,127.0.0.1,3000,45572,2385532062,4030603442,8,0,0,0,0,1,1,0,0,0,3,normal
4,5,64,6,127.0.0.1,127.0.0.1,45572,3000,4030603442,2385532065,8,0,0,0,0,1,0,0,0,0,0,normal
4,5,64,6,127.0.0.1,127.0.0.1,45572,3000,4030603442,2385532065,8,0,0,0,0,1,1,0,0,0,7,normal
4,5,64,6,127.0.0.1,127.0.0.1,3000,45572,2385532065,4030603449,8,0,0,0,0,1,0,0,0,0,0,normal
4,5,64,6,192.168.11.24,192.168.11.21,44172,3000,3767039168,3365735764,8,0,0,0,0,1,1,0,0,0,7,normal
4,5,64,6,192.168.11.23,192.168.11.21,47070,3000,4046104486,3222463720,8,0,0,0,0,1,1,0,0,0,7,normal
4,5,64,6,192.168.11.22,192.168.11.21,58688,3000,735273912,2048392416,8,0,0,0,0,1,1,0,0,0,7,normal
4,5,64,6,127.0.0.1,127.0.0.1,3000,45572,2385532065,4030603449,8,0,0,0,0,1,1,0,0,0,3,normal
4,5,64,6,127.0.0.1,127.0.0.1,45572,3000,4030603449,2385532068,8,0,0,0,0,1,0,0,0,0,0,normal
4,5,64,6,127.0.0.1,127.0.0.1,45572,3000,4030603449,2385532068,8,0,0,0,0,1,1,0,0,0,7,normal
4,5,64,6,127.0.0.1,127.0.0.1,3000,45572,2385532068,4030603456,8,0,0,0,0,1,0,0,0,0,0,normal
4,5,64,6,192.168.11.24,192.168.11.21,44172,3000,3767039175,3365735767,8,0,0,0,0,1,1,0,0,0,7,normal
4,5,64,6,192.168.11.23,192.168.11.21,47070,3000,4046104493,3222463723,8,0,0,0,0,1,1,0,0,0,7,normal
4,5,64,6,192.168.11.22,192.168.11.21,58688,3000,735273919,2048392419,8,0,0,0,0,1,1,0,0,0,7,normal
4,5,64,6,127.0.0.1,127.0.0.1,3000,45572,2385532068,4030603456,8,0,0,0,0,1,1,0,0,0,484,normal
